Scil_15;Slac_14	Scil_15;Slac_14_pval1	Scil_15;Slac_14_pval2	Scil_17;Slac_40	Scil_17;Slac_40_pval1	Scil_17;Slac_40_pval2	Scil_21;Slac_15	Scil_21;Slac_15_pval1	Scil_21;Slac_15_pval2	Scil_21;Slac_9	Scil_21;Slac_9_pval1	Scil_21;Slac_9_pval2	Scil_24;Slac_24	Scil_24;Slac_24_pval1	Scil_24;Slac_24_pval2	Scil_25;Slac_17	Scil_25;Slac_17_pval1	Scil_25;Slac_17_pval2	Scil_26;Slac_10	Scil_26;Slac_10_pval1	Scil_26;Slac_10_pval2	Scil_26;Slac_18	Scil_26;Slac_18_pval1	Scil_26;Slac_18_pval2	Scil_27;Slac_24	Scil_27;Slac_24_pval1	Scil_27;Slac_24_pval2	Scil_28;Slac_4	Scil_28;Slac_4_pval1	Scil_28;Slac_4_pval2
Scil_g7126;Slac_ENSLPGG00000026137	4.550324673133158e-154	1.6047255062722863e-30	Scil_g12599;Slac_ENSLPGG00000002394	1.330193242913404e-12	5.678874228344192e-06	Scil_g5761;Slac_ENSLPGG00000012632	4.2622160550874223e-38	2.268712304238751e-26	Scil_g4792;Slac_ENSLPGG00000011839	2.1672041103820224e-120	2.3607637339619418e-11	Scil_g4240;Slac_ENSLPGG00000018987	3.593482504157775e-10	2.6386254863590804e-208	Scil_g8884;Slac_ENSLPGG00000005483	0.00010905326585600339	6.771725959466119e-09	Scil_g10508;Slac_ENSLPGG00000012949	2.0611272151206765e-09	6.237655747045699e-217	Scil_g6060;Slac_ENSLPGG00000013844	8.289548245891048e-07	1.351461426858574e-132	Scil_g2541;Slac_ENSLPGG00000014506	3.475334919449621e-07	1.1472672825183391e-41	Scil_g6182;Slac_ENSLPGG00000021186	0.00425243105919548	4.6642969300092515e-92
Scil_g7130;Slac_ENSLPGG00000014289	1.1016928371962666e-49	1.063593045223818e-144	Scil_g20;Slac_ENSLPGG00000018987	1.369084501067829e-14	6.733704086712018e-08	Scil_g1027;Slac_ENSLPGG00000021127	2.2596925306718318e-64	0.00026020690407486225	Scil_g2609;Slac_ENSLPGG00000007730	2.496564254222248e-24	0.0	Scil_g4335;Slac_ENSLPGG00000007730	2.8855770379476457e-94	1.7449377494689486e-149	Scil_g7598;Slac_ENSLPGG00000026540	1.654052207920732e-54	5.082599674901194e-269	Scil_g10147;Slac_ENSLPGG00000006923	9.901932690407894e-29	0.0038925107554729542	Scil_g9850;Slac_ENSLPGG00000008750	1.8869486914751215e-24	1.1333697489390906e-08	Scil_g6803;Slac_ENSLPGG00000012949	4.0147325213091934e-71	7.631737265201371e-154	Scil_g10276;Slac_ENSLPGG00000005266	7.375399365999464e-05	1.7279918550208642e-49
Scil_g13039;Slac_ENSLPGG00000013772	1.875632303654956e-21	1.2252823654104125e-130	Scil_g4335;Slac_ENSLPGG00000007730	1.5673504491633077e-64	1.6005189891447079e-06	Scil_g10147;Slac_ENSLPGG00000006923	4.551182698597302e-95	1.2894945385144873e-12	Scil_g10147;Slac_ENSLPGG00000006923	4.551182698597302e-95	1.1559737404663003e-15	Scil_g2493;Slac_ENSLPGG00000023276	1.562110105586015e-93	1.4295563297452558e-07	Scil_g5543;Slac_ENSLPGG00000018326	1.9291177338406187e-15	1.1462170793757774e-39	Scil_g6060;Slac_ENSLPGG00000013844	8.289548245891048e-07	2.2780826442584337e-147	Scil_g12881;Slac_ENSLPGG00000018391	6.56969706131986e-11	0.00017741661575307126	Scil_g1061;Slac_ENSLPGG00000007322	1.6531340316030627e-66	6.029827760382912e-40	Scil_g8970;Slac_ENSLPGG00000012340	7.318774950426462e-09	4.441996473331513e-39
Scil_g6523;Slac_ENSLPGG00000017549	1.9208820673220015e-108	0.0	Scil_g4929;Slac_ENSLPGG00000012981	5.043365006362624e-38	0.0015827827178290744	Scil_g792;Slac_ENSLPGG00000003499	4.502169748278949e-85	6.728375828184202e-59	Scil_g5761;Slac_ENSLPGG00000012632	4.2622160550874223e-38	5.189924774511159e-28	Scil_g1061;Slac_ENSLPGG00000007322	1.0251660571293946e-93	6.029827760382912e-40	Scil_g5543;Slac_ENSLPGG00000026540	1.9291177338406187e-15	5.082599674901194e-269	Scil_g8192;Slac_ENSLPGG00000018987	1.908173929108026e-09	2.4652339748246525e-172	Scil_g8192;Slac_ENSLPGG00000018987	1.908173929108026e-09	3.0882825093222114e-93	Scil_g13004;Slac_ENSLPGG00000007730	1.4319668162711407e-72	1.7449377494689486e-149	Scil_g6182;Slac_ENSLPGG00000024989	0.00425243105919548	0.00241040070878632
Scil_g6488;Slac_ENSLPGG00000018881	8.405752906415988e-42	3.327573532759263e-167	Scil_g130;Slac_ENSLPGG00000015888	6.671212094816977e-06	4.468331231318971e-10	Scil_g2609;Slac_ENSLPGG00000018987	2.496564254222248e-24	4.442906185241835e-129	Scil_g792;Slac_ENSLPGG00000003499	4.502169748278949e-85	5.716635146386202e-99	Scil_g20;Slac_ENSLPGG00000007730	3.034859832850301e-78	1.7449377494689486e-149	Scil_g11357;Slac_ENSLPGG00000001431	0.00012051590821996128	1.381974379108204e-17	Scil_g12881;Slac_ENSLPGG00000018391	6.56969706131986e-11	0.000232973285449148	Scil_g6060;Slac_ENSLPGG00000014386	8.289548245891048e-07	3.5379007592721833e-43	Scil_g877;Slac_ENSLPGG00000012949	3.436755750647432e-72	7.631737265201371e-154	Scil_g2168;Slac_ENSLPGG00000017442	4.866606891910804e-10	0.0007134878658663055
Scil_g13459;Slac_ENSLPGG00000014078	1.9096012719656576e-17	1.1718410859204122e-156	Scil_g49;Slac_ENSLPGG00000018987	2.1242393668836534e-43	6.733704086712018e-08	Scil_g2609;Slac_ENSLPGG00000007730	2.496564254222248e-24	3.998399138806171e-213	Scil_g792;Slac_ENSLPGG00000001761	4.502169748278949e-85	5.86853535204573e-31	Scil_g4929;Slac_ENSLPGG00000030375	9.60239209900516e-95	0.0009062360447060605	Scil_g3655;Slac_ENSLPGG00000014681	2.6982419899185822e-09	4.5576240583169175e-08	Scil_g10140;Slac_ENSLPGG00000015562	5.184426286457177e-21	0.002415892140766677	Scil_g10508;Slac_ENSLPGG00000018391	2.0611272151206765e-09	0.00017741661575307126	Scil_g4223;Slac_ENSLPGG00000007730	1.8920182027213295e-72	1.7449377494689486e-149	Scil_g6182;Slac_ENSLPGG00000008996	0.00425243105919548	8.155654749464835e-07
Scil_g49;Slac_ENSLPGG00000007730	3.553367353846493e-191	1.131600810454147e-278	Scil_g20;Slac_ENSLPGG00000007730	1.369084501067829e-14	1.6005189891447079e-06	Scil_g4792;Slac_ENSLPGG00000011839	2.1672041103820224e-120	3.187901163744036e-05	Scil_g2609;Slac_ENSLPGG00000018987	2.496564254222248e-24	8.336789136783278e-158	Scil_g6803;Slac_ENSLPGG00000012949	2.221893686373928e-86	7.631737265201371e-154	Scil_g6719;Slac_ENSLPGG00000007730	1.7693134985060617e-86	1.5161634843722148e-162	Scil_g9850;Slac_ENSLPGG00000008750	1.8869486914751215e-24	8.469060618318465e-06	Scil_g13279;Slac_ENSLPGG00000018391	2.3101575144059033e-19	0.00017741661575307126	Scil_g4240;Slac_ENSLPGG00000018987	7.94947822143419e-06	2.6386254863590804e-208	Scil_g5407;Slac_ENSLPGG00000016023	6.198193916748304e-13	2.7933912874570014e-08
Scil_g6264;Slac_ENSLPGG00000003728	1.4741925395631006e-08	2.4199863712403416e-262	Scil_g2609;Slac_ENSLPGG00000018987	5.157334359600316e-07	6.733704086712018e-08	Scil_g13078;Slac_ENSLPGG00000014506	7.912716267496188e-05	1.5255096301183682e-54	Scil_g2609;Slac_ENSLPGG00000007525	2.496564254222248e-24	2.4280532106859597e-36	Scil_g877;Slac_ENSLPGG00000012949	1.1371250482772108e-92	7.631737265201371e-154	Scil_g11357;Slac_ENSLPGG00000013450	0.00012051590821996128	1.1590821410010482e-08	Scil_g6060;Slac_ENSLPGG00000014386	8.289548245891048e-07	1.679986215407584e-43	Scil_g11447;Slac_ENSLPGG00000008750	0.00040925440577367324	1.1333697489390906e-08	Scil_g4929;Slac_ENSLPGG00000023276	3.464830970332022e-64	1.4295563297452558e-07	Scil_g6171;Slac_ENSLPGG00000003671	0.0020988008717871824	1.5529769930545319e-09
Scil_g49;Slac_ENSLPGG00000018987	3.553367353846493e-191	1.3501043026864786e-122	Scil_g13539;Slac_ENSLPGG00000015888	0.0023989203200656395	4.468331231318971e-10	Scil_g5761;Slac_ENSLPGG00000012744	4.2622160550874223e-38	0.0008141352423049209	Scil_g10140;Slac_ENSLPGG00000018774	5.963012473984281e-36	2.4166258980482844e-09	Scil_g1846;Slac_ENSLPGG00000002171	3.7072688851209574e-77	2.0039843010385572e-48	Scil_g2018;Slac_ENSLPGG00000002251	2.733722159106803e-29	1.0703518826219367e-12	Scil_g13279;Slac_ENSLPGG00000018391	2.3101575144059033e-19	0.000232973285449148	Scil_g13026;Slac_ENSLPGG00000029928	1.3544404979115356e-21	0.002355789556263397	Scil_g4335;Slac_ENSLPGG00000007730	3.007251507353725e-67	1.7449377494689486e-149			
Scil_g6719;Slac_ENSLPGG00000007730	3.0362871899514263e-161	1.131600810454147e-278	Scil_g6719;Slac_ENSLPGG00000018987	1.4253412721496032e-32	6.733704086712018e-08	Scil_g13026;Slac_ENSLPGG00000029928	4.83779984233148e-48	6.445548881118811e-26	Scil_g13026;Slac_ENSLPGG00000029928	4.83779984233148e-48	5.964734464321405e-23	Scil_g1061;Slac_ENSLPGG00000030375	1.0251660571293946e-93	0.0009062360447060605	Scil_g6719;Slac_ENSLPGG00000007525	1.7693134985060617e-86	3.993170464153228e-16	Scil_g11447;Slac_ENSLPGG00000008750	0.00040925440577367324	8.469060618318465e-06	Scil_g12721;Slac_ENSLPGG00000026540	0.004329319745136899	6.482581306320177e-265	Scil_g9009;Slac_ENSLPGG00000015421	4.190667034827539e-09	1.6640067240340393e-10			
Scil_g6128;Slac_ENSLPGG00000007585	1.7142176999012228e-09	0.00011583117038050548	Scil_g49;Slac_ENSLPGG00000007730	2.1242393668836534e-43	1.6005189891447079e-06	Scil_g13078;Slac_ENSLPGG00000014782	7.912716267496188e-05	4.0221730396915904e-85	Scil_g13078;Slac_ENSLPGG00000014782	7.912716267496188e-05	5.526486443458363e-95	Scil_g130;Slac_ENSLPGG00000015888	1.4146731984658691e-66	1.414267117274712e-109	Scil_g9850;Slac_ENSLPGG00000023963	7.256824191226701e-09	1.9303084155892143e-88	Scil_g2615;Slac_ENSLPGG00000027773	7.366205914305824e-33	2.66221771586867e-15	Scil_g1929;Slac_ENSLPGG00000017167	1.0567452412180616e-32	0.00026761402249912984	Scil_g1157;Slac_ENSLPGG00000014782	1.1520825168030329e-29	2.216785442425679e-52			
Scil_g5849;Slac_ENSLPGG00000005661	0.00013226546539073046	1.2482535014366128e-22	Scil_g1061;Slac_ENSLPGG00000012981	1.2390614263444723e-23	0.0015827827178290744	Scil_g9850;Slac_ENSLPGG00000009453	2.9609292285413797e-44	6.590504302001542e-85	Scil_g2793;Slac_ENSLPGG00000021503	1.1197019573576427e-08	2.2036020148650768e-13	Scil_g1846;Slac_ENSLPGG00000016891	3.7072688851209574e-77	1.1066745948069943e-10	Scil_g6719;Slac_ENSLPGG00000011839	1.7693134985060617e-86	6.039500918035304e-05	Scil_g8192;Slac_ENSLPGG00000007730	1.908173929108026e-09	2.5033167562237615e-138	Scil_g2024;Slac_ENSLPGG00000002251	5.342744137071231e-11	0.00012251065877010218	Scil_g1061;Slac_ENSLPGG00000030375	1.6531340316030627e-66	0.0009062360447060605			
Scil_g6588;Slac_ENSLPGG00000004351	1.5951578667449876e-59	4.011396952539068e-120	Scil_g2609;Slac_ENSLPGG00000007730	5.157334359600316e-07	1.6005189891447079e-06	Scil_g130;Slac_ENSLPGG00000008987	3.602006050929476e-46	6.53881726537894e-05	Scil_g130;Slac_ENSLPGG00000008987	3.602006050929476e-46	0.001852208764674488	Scil_g13004;Slac_ENSLPGG00000007730	2.5514582754827525e-91	1.7449377494689486e-149	Scil_g9010;Slac_ENSLPGG00000009116	1.2264590765501197e-29	0.0002502781468967871	Scil_g10508;Slac_ENSLPGG00000018391	2.0611272151206765e-09	0.000232973285449148	Scil_g2615;Slac_ENSLPGG00000027773	7.366205914305824e-33	3.8335044618437055e-14	Scil_g7031;Slac_ENSLPGG00000002726	3.3073374555540937e-72	4.048195775242507e-16			
Scil_g6719;Slac_ENSLPGG00000018987	3.0362871899514263e-161	1.3501043026864786e-122	Scil_g13119;Slac_ENSLPGG00000019726	3.421734682792743e-08	1.9316038330672487e-09	Scil_g10086;Slac_ENSLPGG00000020504	3.0338463385256324e-05	5.048442826344658e-07	Scil_g9850;Slac_ENSLPGG00000009453	2.9609292285413797e-44	2.999904205182712e-54	Scil_g4223;Slac_ENSLPGG00000007730	1.5956933083580732e-91	1.7449377494689486e-149	Scil_g2018;Slac_ENSLPGG00000007322	2.733722159106803e-29	1.8319456033269103e-86	Scil_g2168;Slac_ENSLPGG00000017442	1.924948131259263e-44	3.358478301543123e-08	Scil_g8192;Slac_ENSLPGG00000007730	1.908173929108026e-09	3.6133844128804866e-70	Scil_g2493;Slac_ENSLPGG00000030375	8.396436553490569e-72	0.0009062360447060605			
Scil_g12721;Slac_ENSLPGG00000026540	1.580144500595143e-150	1.5286010209599225e-83	Scil_g6719;Slac_ENSLPGG00000007730	1.4253412721496032e-32	1.6005189891447079e-06	Scil_g2609;Slac_ENSLPGG00000007525	2.496564254222248e-24	3.5619051390972777e-23	Scil_g13078;Slac_ENSLPGG00000014506	7.912716267496188e-05	3.072845078965812e-33	Scil_g13539;Slac_ENSLPGG00000015888	3.8710966832846466e-62	1.414267117274712e-109	Scil_g9312;Slac_ENSLPGG00000002720	1.6684120061973445e-10	0.003850984221015657	Scil_g1929;Slac_ENSLPGG00000017167	1.0567452412180616e-32	4.23075403131817e-09	Scil_g2024;Slac_ENSLPGG00000004970	5.342744137071231e-11	7.678095289483315e-10	Scil_g7709;Slac_ENSLPGG00000014949	2.7523226686168697e-18	1.1948375898754562e-64			
Scil_g49;Slac_ENSLPGG00000011839	3.553367353846493e-191	1.90611515788076e-10	Scil_g267;Slac_ENSLPGG00000005542	0.00616786698825931	0.009397426229475696	Scil_g12721;Slac_ENSLPGG00000026540	1.7835176393336055e-43	5.221094862122248e-101	Scil_g2609;Slac_ENSLPGG00000011839	2.496564254222248e-24	2.3607637339619418e-11	Scil_g2493;Slac_ENSLPGG00000030375	1.562110105586015e-93	0.0009062360447060605	Scil_g7728;Slac_ENSLPGG00000007104	3.361117219650933e-35	4.588380495450339e-10	Scil_g11447;Slac_ENSLPGG00000009116	0.00040925440577367324	2.3182165276087313e-13	Scil_g12721;Slac_ENSLPGG00000018326	0.004329319745136899	1.9484642569970714e-21	Scil_g4929;Slac_ENSLPGG00000007322	3.464830970332022e-64	6.029827760382912e-40			
Scil_g49;Slac_ENSLPGG00000007525	3.553367353846493e-191	1.2026125316824048e-14	Scil_g10508;Slac_ENSLPGG00000012949	0.0034224389133556063	4.996980595575526e-14	Scil_g9161;Slac_ENSLPGG00000022320	2.6385043186678827e-33	9.333787942764978e-10	Scil_g1350;Slac_ENSLPGG00000015655	1.7852689279252667e-48	1.160234898039516e-18	Scil_g2609;Slac_ENSLPGG00000007730	1.5111048112200333e-68	1.7449377494689486e-149	Scil_g2930;Slac_ENSLPGG00000009116	3.3176949352516434e-14	0.0002502781468967871	Scil_g8192;Slac_ENSLPGG00000007525	1.908173929108026e-09	5.8275722590133974e-15	Scil_g2168;Slac_ENSLPGG00000017442	1.924948131259263e-44	0.0028047335468007334	Scil_g20;Slac_ENSLPGG00000007730	1.560667198226129e-53	1.7449377494689486e-149			
Scil_g5970;Slac_ENSLPGG00000019726	6.359832455523348e-28	0.0	Scil_g4792;Slac_ENSLPGG00000018987	3.134017958651674e-10	6.733704086712018e-08	Scil_g2793;Slac_ENSLPGG00000021503	1.1197019573576427e-08	2.2972828260652025e-10	Scil_g2793;Slac_ENSLPGG00000017855	1.1197019573576427e-08	1.3038842899301157e-06	Scil_g1157;Slac_ENSLPGG00000014506	5.371096108950538e-15	1.1472672825183391e-41	Scil_g12881;Slac_ENSLPGG00000018391	1.0851888983137767e-08	8.80674281685354e-58	Scil_g6013;Slac_ENSLPGG00000000463	1.0516047263513483e-14	1.0290658442549019e-08	Scil_g11447;Slac_ENSLPGG00000009116	0.00040925440577367324	1.2402889402997416e-10	Scil_g1846;Slac_ENSLPGG00000002171	2.6571136541369326e-45	2.0039843010385572e-48			
Scil_g8135;Slac_ENSLPGG00000014782	4.886659234752376e-97	3.5310458308772875e-55	Scil_g4792;Slac_ENSLPGG00000007730	3.134017958651674e-10	1.6005189891447079e-06	Scil_g13539;Slac_ENSLPGG00000008987	1.1454364321341173e-47	6.53881726537894e-05	Scil_g5761;Slac_ENSLPGG00000012744	4.2622160550874223e-38	0.009637538595497895	Scil_g4517;Slac_ENSLPGG00000005542	4.833548353276332e-67	2.2155380793958537e-16	Scil_g2789;Slac_ENSLPGG00000017036	3.0992480392413104e-32	1.9986848103810602e-07	Scil_g10207;Slac_ENSLPGG00000027146	1.254756164829183e-07	0.00013474303058501203	Scil_g8192;Slac_ENSLPGG00000007525	1.908173929108026e-09	1.0828951260361905e-08	Scil_g5780;Slac_ENSLPGG00000021520	7.726719165322015e-45	1.1192892414117911e-44			
