Aque_Archaeo_1;Scil_19	Aque_Archaeo_1;Scil_19_pval1	Aque_Archaeo_1;Scil_19_pval2	Aque_Archaeo_1;Scil_24	Aque_Archaeo_1;Scil_24_pval1	Aque_Archaeo_1;Scil_24_pval2	Aque_Archaeo_1;Scil_27	Aque_Archaeo_1;Scil_27_pval1	Aque_Archaeo_1;Scil_27_pval2	Aque_Archaeo_1;Scil_32	Aque_Archaeo_1;Scil_32_pval1	Aque_Archaeo_1;Scil_32_pval2	Aque_Aspcinzin;Scil_28	Aque_Aspcinzin;Scil_28_pval1	Aque_Aspcinzin;Scil_28_pval2	Aque_Choanocytes_1;Scil_1	Aque_Choanocytes_1;Scil_1_pval1	Aque_Choanocytes_1;Scil_1_pval2	Aque_Choanocytes_2;Scil_1	Aque_Choanocytes_2;Scil_1_pval1	Aque_Choanocytes_2;Scil_1_pval2	Aque_Pinaco_1;Scil_15	Aque_Pinaco_1;Scil_15_pval1	Aque_Pinaco_1;Scil_15_pval2	Aque_Pinaco_1;Scil_21	Aque_Pinaco_1;Scil_21_pval1	Aque_Pinaco_1;Scil_21_pval2	Aque_Pinaco_1;Scil_25	Aque_Pinaco_1;Scil_25_pval1	Aque_Pinaco_1;Scil_25_pval2	Aque_Pinaco_1;Scil_30	Aque_Pinaco_1;Scil_30_pval1	Aque_Pinaco_1;Scil_30_pval2	Aque_Pinaco_2;Scil_15	Aque_Pinaco_2;Scil_15_pval1	Aque_Pinaco_2;Scil_15_pval2	Aque_Pinaco_2;Scil_19	Aque_Pinaco_2;Scil_19_pval1	Aque_Pinaco_2;Scil_19_pval2	Aque_Pinaco_2;Scil_24	Aque_Pinaco_2;Scil_24_pval1	Aque_Pinaco_2;Scil_24_pval2	Aque_Pinaco_2;Scil_27	Aque_Pinaco_2;Scil_27_pval1	Aque_Pinaco_2;Scil_27_pval2	Aque_Sperm;Scil_22	Aque_Sperm;Scil_22_pval1	Aque_Sperm;Scil_22_pval2
Aque_Aqu2.1.03528-001;Scil_g2894	2.524224078298844e-07	3.4874817870021173e-124	Aque_Aqu2.1.22535-001;Scil_g13539	7.166399470023436e-67	3.8710966832846466e-62	Aque_Aqu2.1.25862-001;Scil_g9014	1.4164840831138878e-69	1.3351828985732552e-05	Aque_Aqu2.1.34374-001;Scil_g12129	1.4390603500282076e-48	2.697018913806139e-25				Aque_Aqu2.1.33945-001;Scil_g4608	4.071114614121073e-30	7.412589254474107e-06	Aque_Aqu2.1.25858-001;Scil_g10250	5.683206485678387e-42	0.0005451358125084988	Aque_Aqu2.1.28940-001;Scil_g13459	0.0008919440334010753	1.9096012719656576e-17	Aque_Aqu2.1.42770-001;Scil_g3808	3.5810184203344485e-32	5.286844345780048e-33	Aque_Aqu2.1.28510-001;Scil_g1202	5.959189221181413e-33	1.1291753166127333e-21	Aque_Aqu2.1.34863-001;Scil_g10140	7.856949568546215e-16	0.0009539565805784388	Aque_Aqu2.1.21174-001;Scil_g2820	3.5983844010444904e-79	1.734370996913815e-60	Aque_Aqu2.1.41302-001;Scil_g863	1.593114344057822e-11	4.756084139934951e-32	Aque_Aqu2.1.39774-001;Scil_g1285	0.0019888630209188496	1.9193389449336593e-16	Aque_Aqu2.1.41012-001;Scil_g877	0.0037296053160072056	3.436755750647432e-72			
Aque_Aqu2.1.24003-001;Scil_g5917	2.866249896840247e-05	9.421040528409995e-10	Aque_Aqu2.1.38560-001;Scil_g10147	0.0005664191760605996	8.846609894836744e-88	Aque_Aqu2.1.38435-001;Scil_g2679	3.2496804617101288e-21	3.938836107035566e-40	Aque_Aqu2.1.27224-001;Scil_g1970	6.85573730359377e-63	2.606407538094883e-24				Aque_Aqu2.1.44004-001;Scil_g1576	9.78673605233399e-10	1.7880041594527604e-28	Aque_Aqu2.1.34914-001;Scil_g1066	3.72904919381605e-06	9.692884806022747e-33	Aque_Aqu2.1.28495-001;Scil_g178	4.458325986516477e-24	1.4769874519580662e-05	Aque_Aqu2.1.30867-001;Scil_g1483	1.3309245062395783e-20	2.479568833724734e-22	Aque_Aqu2.1.40905-001;Scil_g8135	2.293128987599471e-12	2.51499300070688e-45	Aque_Aqu2.1.41520-001;Scil_g10140	4.988517977277189e-10	0.0009539565805784388	Aque_Aqu2.1.22806-001;Scil_g3183	2.776203842403284e-32	4.8477083124980386e-23	Aque_Aqu2.1.24884-001;Scil_g1554	1.3533160291778027e-08	3.304971762119239e-157	Aque_Aqu2.1.28647-001;Scil_g9721	3.257848752489315e-06	7.303880045324631e-90	Aque_Aqu2.1.33622-001;Scil_g1846	0.0004296564650498524	2.6571136541369326e-45			
Aque_Aqu2.1.34182-001;Scil_g1212	2.8381934299431106e-12	1.2683858340816088e-31	Aque_Aqu2.1.35741-001;Scil_g3758	0.00040754156009998287	1.0245850626031124e-14	Aque_Aqu2.1.24003-001;Scil_g5917	2.866249896840247e-05	5.361292433110831e-06	Aque_Aqu2.1.39927-001;Scil_g1970	2.100681945699731e-42	2.606407538094883e-24				Aque_Aqu2.1.26125-001;Scil_g6241	2.8889124088003038e-40	2.833157647881633e-12	Aque_Aqu2.1.28493-001;Scil_g5104	4.321453769502233e-21	1.0482033334351304e-18	Aque_Aqu2.1.33443-001;Scil_g6719	4.986367745258103e-05	3.0362871899514263e-161	Aque_Aqu2.1.34140-001;Scil_g1098	1.0121820050408576e-29	7.599970776583826e-09	Aque_Aqu2.1.38632-001;Scil_g571	9.189697425880252e-06	1.068176889897305e-05	Aque_Aqu2.1.40394-001;Scil_g12529	0.008548448215663518	0.0014259673764483503	Aque_Aqu2.1.31586-001;Scil_g12820	1.891188349453035e-06	4.7226135486708815e-49	Aque_Aqu2.1.42548-001;Scil_g5592	7.448014540555121e-28	2.184220536855156e-67	Aque_Aqu2.1.36280-001;Scil_g11065	6.583859642625656e-05	3.6002732481811173e-92	Aque_Aqu2.1.40738-001;Scil_g1061	2.1345051172444716e-09	1.6531340316030627e-66			
Aque_Aqu2.1.22535-001;Scil_g130	7.166399470023436e-67	2.0188401445695373e-82	Aque_Aqu2.1.33693-001;Scil_g12599	2.272650030560976e-17	4.173021689879131e-75	Aque_Aqu2.1.38191-001;Scil_g3256	5.740348681209968e-44	3.913029502705773e-66	Aque_Aqu2.1.29099-001;Scil_g1652	0.00020858608906216777	4.773860750533192e-18				Aque_Aqu2.1.23302-001;Scil_g750	7.671227552632882e-18	0.0030488697490813794	Aque_Aqu2.1.36394-001;Scil_g11408	2.851071199291618e-53	0.0009273067915295075	Aque_Aqu2.1.19251-001;Scil_g10403	0.0002787234957560977	1.7124746463439208e-17	Aque_Aqu2.1.44243-001;Scil_g12785	2.5819489532558422e-23	1.6615381302058852e-07	Aque_Aqu2.1.29496-001;Scil_g13078	0.0005693519180481434	1.270550194124332e-16	Aque_Aqu2.1.28489-001;Scil_g13076	1.2639077541595553e-28	0.0038503271977062964	Aque_Aqu2.1.34863-001;Scil_g2820	3.260819368721017e-23	1.734370996913815e-60	Aque_Aqu2.1.41012-001;Scil_g877	0.0037296053160072056	2.0942530742981258e-154	Aque_Aqu2.1.28223-001;Scil_g2609	0.0001247782164728605	1.5111048112200333e-68	Aque_Aqu2.1.41049-001;Scil_g13539	3.1349616642062083e-119	2.0254017501563832e-25			
Aque_Aqu2.1.40839-001;Scil_g13262	1.1787648350722784e-47	8.449451729511004e-09	Aque_Aqu2.1.28570-001;Scil_g1710	6.837768357397875e-22	1.4260236395027158e-79	Aque_Aqu2.1.43985-001;Scil_g12599	5.989059835682736e-35	6.341065114787564e-42	Aque_Aqu2.1.36263-001;Scil_g3347	1.778679896019185e-56	1.1466699443392588e-24				Aque_Aqu2.1.07288-001;Scil_g12131	0.0003153131800253428	2.2731884289040125e-05	Aque_Aqu2.1.42092-001;Scil_g2050	1.3320083962987602e-48	0.00028651022064054156	Aque_Aqu2.1.36490-001;Scil_g13611	2.3520864719849443e-07	8.156316910224347e-05	Aque_Aqu2.1.30867-001;Scil_g5780	1.3309245062395783e-20	1.401077682156374e-56	Aque_Aqu2.1.40905-001;Scil_g13078	2.293128987599471e-12	1.270550194124332e-16	Aque_Aqu2.1.44221-001;Scil_g13279	5.994069235373014e-92	0.0016891241532341903	Aque_Aqu2.1.29497-001;Scil_g13078	1.2112662309644303e-77	1.991643228201955e-20	Aque_Aqu2.1.42605-001;Scil_g6036	5.904277517281949e-05	3.2501838191245744e-35	Aque_Aqu2.1.31551-001;Scil_g7883	5.480233371944621e-11	1.162956500078495e-86	Aque_Aqu2.1.34348-001;Scil_g9841	0.004037217112809467	1.0967425781163695e-34			
Aque_Aqu2.1.41302-001;Scil_g863	3.049277438668542e-10	4.756084139934951e-32	Aque_Aqu2.1.43636-001;Scil_g2645	2.3857194879026892e-54	1.328756618204222e-47	Aque_Aqu2.1.42569-001;Scil_g8107	2.5352856125127514e-06	5.063499963051782e-16	Aque_Aqu2.1.29951-001;Scil_g9420	0.00022028134504872317	1.4091974360039661e-33				Aque_Aqu2.1.10425-001;Scil_g8416	1.7884504694520865e-31	3.0005616773400286e-72	Aque_Aqu2.1.37297-001;Scil_g11238	0.0038503850914560953	1.5303060410408876e-110	Aque_Aqu2.1.36606-001;Scil_g9134	6.429704257152719e-05	1.1687523273894093e-15	Aque_Aqu2.1.28316-001;Scil_g6383	0.007704087900764999	2.1392724040905424e-13	Aque_Aqu2.1.33525-001;Scil_g825	0.0003183802689905963	7.448139611401511e-06	Aque_Aqu2.1.34598-001;Scil_g809	0.00016521084626498403	0.00629330701781394	Aque_Aqu2.1.39127-001;Scil_g2924	9.477302103520506e-06	3.4344694105172255e-06	Aque_Aqu2.1.39672-001;Scil_g11079	4.853247615656722e-15	3.557156986832833e-11	Aque_Aqu2.1.14128-001;Scil_g9420	0.0056228831372082165	2.61542842285498e-86	Aque_Aqu2.1.39672-001;Scil_g11079	4.853247615656722e-15	5.333606875609963e-07			
Aque_Aqu2.1.29951-001;Scil_g9014	0.00022028134504872317	0.001206914064140306	Aque_Aqu2.1.25862-001;Scil_g9420	1.4164840831138878e-69	2.61542842285498e-86	Aque_Aqu2.1.32713-001;Scil_g2679	2.6072070909321647e-14	3.938836107035566e-40	Aque_Aqu2.1.34343-001;Scil_g7064	1.748816289030163e-11	3.4262948941657927e-34				Aque_Aqu2.1.27795-001;Scil_g1858	1.6436521919493415e-06	1.3255464112178313e-28	Aque_Aqu2.1.26656-001;Scil_g11106	6.306614396270752e-34	5.625711319294789e-12	Aque_Aqu2.1.19251-001;Scil_g4524	0.0002787234957560977	1.2091609115166517e-12	Aque_Aqu2.1.30867-001;Scil_g1098	1.3309245062395783e-20	7.599970776583826e-09	Aque_Aqu2.1.31586-001;Scil_g5478	1.7372787348993547e-40	0.0003749443970407659	Aque_Aqu2.1.40738-001;Scil_g2018	6.218782870818954e-08	5.296415650876379e-07	Aque_Aqu2.1.40905-001;Scil_g8135	1.6276630887661414e-22	4.886659234752376e-97	Aque_Aqu2.1.29098-001;Scil_g2493	0.008406488938209408	3.171133198751257e-158	Aque_Aqu2.1.29098-001;Scil_g2493	0.008406488938209408	1.562110105586015e-93	Aque_Aqu2.1.21174-001;Scil_g2820	3.5983844010444904e-79	7.937987451962361e-22			
Aque_Aqu2.1.43636-001;Scil_g2645	2.3857194879026892e-54	3.7308049854168335e-83	Aque_Aqu2.1.37095-001;Scil_g6036	1.7138617390298075e-107	9.543654246405655e-43	Aque_Aqu2.1.38560-001;Scil_g10147	0.0005664191760605996	2.762667440063398e-59	Aque_Aqu2.1.38167-001;Scil_g3347	2.0325287556649088e-66	1.1466699443392588e-24				Aque_Aqu2.1.28660-001;Scil_g8560	4.447347898735153e-19	6.827252268949651e-06	Aque_Aqu2.1.41184-001;Scil_g903	2.344044351394301e-25	0.0008332685915331989	Aque_Aqu2.1.42680-001;Scil_g4524	0.00434990374509876	1.2091609115166517e-12	Aque_Aqu2.1.29077-001;Scil_g119	1.3133214504172145e-07	6.863192564336938e-73	Aque_Aqu2.1.40738-001;Scil_g2018	6.218782870818954e-08	2.733722159106803e-29	Aque_Aqu2.1.40905-001;Scil_g8135	2.293128987599471e-12	6.613510251588844e-11	Aque_Aqu2.1.28488-001;Scil_g9850	2.665580690789617e-63	2.3017395799018037e-22	Aque_Aqu2.1.37095-001;Scil_g6036	6.317847330705973e-12	3.2501838191245744e-35	Aque_Aqu2.1.26684-001;Scil_g1710	1.2107904022326297e-05	1.4260236395027158e-79	Aque_Aqu2.1.43326-001;Scil_g11335	9.597124260548117e-77	0.008965337630594143			
Aque_Aqu2.1.32713-001;Scil_g2679	2.6072070909321647e-14	7.915325569368873e-86	Aque_Aqu2.1.34429-001;Scil_g110	7.854915848010625e-74	0.001862633292933099	Aque_Aqu2.1.38191-001;Scil_g9230	5.740348681209968e-44	5.73789625531634e-33	Aque_Aqu2.1.41587-001;Scil_g4378	6.284211007424334e-22	5.054538099782425e-13				Aque_Aqu2.1.24266-001;Scil_g4689	4.7527632025133555e-17	2.9084691839750085e-05	Aque_Aqu2.1.41092-001;Scil_g3388	2.646540504612954e-90	4.153586111703442e-07	Aque_Aqu2.1.34863-001;Scil_g10140	7.856949568546215e-16	7.029809022088953e-33	Aque_Aqu2.1.37883-001;Scil_g7865	1.8087879056502434e-19	3.759490286505337e-12	Aque_Aqu2.1.28683-001;Scil_g2789	0.007371482204497088	3.0992480392413104e-32	Aque_Aqu2.1.23692-001;Scil_g10960	1.2841772084763492e-19	0.0010311375398249923	Aque_Aqu2.1.41190-001;Scil_g12335	5.208550013070739e-14	8.988864806702545e-09	Aque_Aqu2.1.40738-001;Scil_g4929	2.1345051172444716e-09	2.6638120184522244e-128	Aque_Aqu2.1.29497-001;Scil_g1157	1.2112662309644303e-77	5.371096108950538e-15	Aque_Aqu2.1.28214-001;Scil_g8568	8.636946883713957e-34	0.0055161113116417694			
Aque_Aqu2.1.41892-001;Scil_g20	8.326661223111995e-07	9.404230881699062e-58	Aque_Aqu2.1.32503-001;Scil_g8568	2.0081355121222554e-34	0.00017243049440109892	Aque_Aqu2.1.34374-001;Scil_g12129	1.4390603500282076e-48	3.1404553919121265e-42	Aque_Aqu2.1.29497-001;Scil_g2541	1.613969228591092e-36	1.2458272345387522e-06				Aque_Aqu2.1.41380-001;Scil_g10067	9.766302821855352e-17	3.6825449616023355e-06	Aque_Aqu2.1.39593-001;Scil_g9955	1.0415950099465564e-25	8.310688268255026e-05	Aque_Aqu2.1.41190-001;Scil_g12335	3.070020325785256e-26	8.988864806702545e-09	Aque_Aqu2.1.40997-001;Scil_g5970	3.831716522362373e-96	0.00876853202494436	Aque_Aqu2.1.08677-001;Scil_g13539	7.208488648075431e-16	3.801568702753414e-10	Aque_Aqu2.1.38146-001;Scil_g13279	6.387586082111135e-11	0.0016891241532341903	Aque_Aqu2.1.28294-001;Scil_g7865	2.005317717046341e-38	2.930595913607532e-07	Aque_Aqu2.1.41012-001;Scil_g6803	0.0037296053160072056	8.511999104027974e-111	Aque_Aqu2.1.37095-001;Scil_g6036	6.317847330705973e-12	9.543654246405655e-43	Aque_Aqu2.1.25862-001;Scil_g9014	2.0549201860468497e-37	1.3351828985732552e-05			
Aque_Aqu2.1.42569-001;Scil_g8107	2.5352856125127514e-06	1.6183395178500832e-20	Aque_Aqu2.1.28488-001;Scil_g12509	4.308080784192572e-08	0.0007866762903271074	Aque_Aqu2.1.29892-001;Scil_g2894	0.00882540214751287	1.528861713276183e-50	Aque_Aqu2.1.32946-001;Scil_g548	3.198548394219795e-57	3.6859068049983273e-26				Aque_Aqu2.1.44140-001;Scil_g4190	1.646659288707431e-78	1.976243892774613e-57	Aque_Aqu2.1.35211-001;Scil_g5520	1.0980787290419444e-30	3.2822396728584823e-09	Aque_Aqu2.1.38599-001;Scil_g12238	6.89707358796606e-05	9.316586458395207e-08	Aque_Aqu2.1.29497-001;Scil_g13078	6.077919633614359e-57	7.912716267496188e-05	Aque_Aqu2.1.40721-001;Scil_g8390	0.0002207593425700575	1.0713201186415784e-29	Aque_Aqu2.1.37426-001;Scil_g8462	0.006785239769564729	3.70097550443984e-05	Aque_Aqu2.1.41989-001;Scil_g6588	3.920606444850843e-22	1.5951578667449876e-59	Aque_Aqu2.1.34348-001;Scil_g9841	0.004037217112809467	3.8224522607857075e-47	Aque_Aqu2.1.41621-001;Scil_g12515	3.759877614692764e-06	6.272355109190866e-91	Aque_Aqu2.1.42569-001;Scil_g8107	0.004968804371715004	5.063499963051782e-16			
Aque_Aqu2.1.25578-001;Scil_g2679	9.46692299568766e-12	7.915325569368873e-86	Aque_Aqu2.1.39296-001;Scil_g8647	8.497757503283989e-55	8.803177329001966e-10	Aque_Aqu2.1.37713-001;Scil_g4517	1.7092280498504553e-19	1.596873247019166e-10	Aque_Aqu2.1.35076-001;Scil_g5922	2.7257506921365438e-27	1.6492420688050157e-17				Aque_Aqu2.1.35499-001;Scil_g4190	1.1523800383696093e-27	1.976243892774613e-57	Aque_Aqu2.1.14719-001;Scil_g11106	5.875814379454436e-20	5.625711319294789e-12	Aque_Aqu2.1.31168-001;Scil_g4052	0.0008003375710539983	1.9221875447288312e-05	Aque_Aqu2.1.28214-001;Scil_g2622	8.244866599655472e-18	3.030870204098419e-17	Aque_Aqu2.1.43326-001;Scil_g7627	1.4712455480465753e-26	0.00020958857353505303	Aque_Aqu2.1.30867-001;Scil_g6923	1.3309245062395783e-20	1.9865115391663293e-07	Aque_Aqu2.1.38390-001;Scil_g12335	5.834579570951229e-09	8.988864806702545e-09	Aque_Aqu2.1.33622-001;Scil_g11079	0.0004296564650498524	3.557156986832833e-11	Aque_Aqu2.1.14505-001;Scil_g12659	7.790561052606891e-22	1.7832643797370186e-06	Aque_Aqu2.1.40905-001;Scil_g2541	1.6276630887661414e-22	3.475334919449621e-07			
Aque_Aqu2.1.34374-001;Scil_g12129	1.4390603500282076e-48	2.9690029009796013e-97	Aque_Aqu2.1.43324-001;Scil_g1731	1.2736071685647366e-11	4.54217235155857e-17	Aque_Aqu2.1.29497-001;Scil_g2541	1.613969228591092e-36	3.475334919449621e-07	Aque_Aqu2.1.03528-001;Scil_g2894	2.524224078298844e-07	6.63625816753973e-19				Aque_Aqu2.1.43823-001;Scil_g9262	8.43656540528806e-40	3.8722536270251675e-05	Aque_Aqu2.1.31900-001;Scil_g11210	7.420072613181933e-54	0.0032434054730837423	Aque_Aqu2.1.28497-001;Scil_g178	6.265744639493593e-06	1.4769874519580662e-05	Aque_Aqu2.1.42065-001;Scil_g3668	5.305955151225863e-07	1.4998070167165875e-08	Aque_Aqu2.1.28497-001;Scil_g9850	6.265744639493593e-06	7.256824191226701e-09	Aque_Aqu2.1.34863-001;Scil_g2820	7.856949568546215e-16	0.002621769989177146	Aque_Aqu2.1.23239-001;Scil_g12335	0.0002498102235929221	8.988864806702545e-09	Aque_Aqu2.1.28223-001;Scil_g20	0.0001247782164728605	9.404230881699062e-58	Aque_Aqu2.1.24884-001;Scil_g1554	1.3533160291778027e-08	1.0622230321867601e-94	Aque_Aqu2.1.40738-001;Scil_g4929	2.1345051172444716e-09	3.464830970332022e-64			
Aque_Aqu2.1.29892-001;Scil_g2894	0.00882540214751287	3.4874817870021173e-124	Aque_Aqu2.1.29892-001;Scil_g2894	0.00882540214751287	8.154864966417369e-80	Aque_Aqu2.1.22535-001;Scil_g13539	7.166399470023436e-67	2.0254017501563832e-25	Aque_Aqu2.1.40905-001;Scil_g1157	9.527533673684782e-19	7.676891407622203e-15				Aque_Aqu2.1.30110-001;Scil_g3388	2.308865816166031e-15	4.153586111703442e-07	Aque_Aqu2.1.36394-001;Scil_g7617	2.851071199291618e-53	6.423092608843804e-11	Aque_Aqu2.1.29497-001;Scil_g13078	6.077919633614359e-57	1.991643228201955e-20	Aque_Aqu2.1.29979-001;Scil_g3316	0.005096289705461217	2.531520629243094e-69	Aque_Aqu2.1.28495-001;Scil_g9850	4.458325986516477e-24	7.256824191226701e-09	Aque_Aqu2.1.33928-001;Scil_g119	8.346851545633894e-09	4.570121173935753e-06	Aque_Aqu2.1.23692-001;Scil_g9750	1.0602342069590649e-07	6.723224112689725e-10	Aque_Aqu2.1.42549-001;Scil_g1343	6.6351231469464594e-12	8.636732229779643e-06	Aque_Aqu2.1.40997-001;Scil_g13119	1.1246864081167407e-15	9.352432746421893e-79	Aque_Aqu2.1.24884-001;Scil_g1554	1.3533160291778027e-08	4.715836454019465e-72			
Aque_Aqu2.1.40808-001;Scil_g271	9.744230663720027e-132	2.775598451118159e-05	Aque_Aqu2.1.42554-001;Scil_g7031	1.8699626977627877e-30	1.046013475420371e-88	Aque_Aqu2.1.37713-001;Scil_g2679	1.7092280498504553e-19	3.938836107035566e-40	Aque_Aqu2.1.37774-001;Scil_g9181	7.700554024937936e-21	9.46135850032615e-11				Aque_Aqu2.1.44140-001;Scil_g5104	1.646659288707431e-78	1.0482033334351304e-18	Aque_Aqu2.1.31188-001;Scil_g903	1.3078862667486033e-56	0.0008332685915331989	Aque_Aqu2.1.41012-001;Scil_g12881	0.00027018571509218245	2.1955428679993587e-32	Aque_Aqu2.1.20935-001;Scil_g13331	3.0542012146660946e-19	1.7811965565566243e-06	Aque_Aqu2.1.44243-001;Scil_g12785	2.5819489532558422e-23	2.3296876787399272e-06	Aque_Aqu2.1.29076-001;Scil_g119	8.254780582515275e-21	4.570121173935753e-06	Aque_Aqu2.1.40328-001;Scil_g12629	3.608154800755373e-76	0.0008190936262603735	Aque_Aqu2.1.29951-001;Scil_g9014	1.9260650568679767e-29	0.001206914064140306	Aque_Aqu2.1.43522-001;Scil_g11081	1.651404943005184e-09	1.9404863705257798e-31	Aque_Aqu2.1.29098-001;Scil_g2493	0.008406488938209408	8.396436553490569e-72			
Aque_Aqu2.1.22535-001;Scil_g13539	7.166399470023436e-67	9.282076087753397e-65	Aque_Aqu2.1.34140-001;Scil_g7883	8.624609785310953e-08	1.162956500078495e-86	Aque_Aqu2.1.42548-001;Scil_g5592	5.420837544320485e-66	3.7899528558091635e-30	Aque_Aqu2.1.41892-001;Scil_g4335	8.326661223111995e-07	2.412480949184302e-28				Aque_Aqu2.1.35499-001;Scil_g5104	1.1523800383696093e-27	1.0482033334351304e-18	Aque_Aqu2.1.42050-001;Scil_g9955	1.3711598473476238e-18	8.310688268255026e-05	Aque_Aqu2.1.39905-001;Scil_g10530	1.4006866036488385e-125	0.0021197888377777543	Aque_Aqu2.1.37486-001;Scil_g12785	5.791765336917085e-10	1.6615381302058852e-07	Aque_Aqu2.1.38683-001;Scil_g10242	0.0026556694445690667	5.071731628240439e-05	Aque_Aqu2.1.41482-001;Scil_g6923	2.257130122823816e-08	1.9865115391663293e-07	Aque_Aqu2.1.39127-001;Scil_g7201	9.477302103520506e-06	0.001249389980969	Aque_Aqu2.1.28488-001;Scil_g9850	2.665580690789617e-63	2.514819998386438e-10	Aque_Aqu2.1.29951-001;Scil_g9014	1.9260650568679767e-29	0.0027978391910432904	Aque_Aqu2.1.41302-001;Scil_g863	1.593114344057822e-11	4.187396020041577e-10			
Aque_Aqu2.1.43985-001;Scil_g12599	5.989059835682736e-35	1.4530854336761406e-95	Aque_Aqu2.1.37751-001;Scil_g10941	1.960754617020323e-08	1.0010401891245668e-18	Aque_Aqu2.1.32946-001;Scil_g548	3.198548394219795e-57	1.2813609335611186e-53	Aque_Aqu2.1.44221-001;Scil_g877	2.4142643864291954e-16	8.518055351621557e-33				Aque_Aqu2.1.22593-001;Scil_g13023	1.5536730639715765e-15	0.00013968688063429845	Aque_Aqu2.1.42015-001;Scil_g1576	5.367848450589573e-12	1.7880041594527604e-28	Aque_Aqu2.1.29098-001;Scil_g5477	0.0022163606697167436	7.031449584470436e-17	Aque_Aqu2.1.32559-001;Scil_g10086	0.0011159041547785943	3.0338463385256324e-05	Aque_Aqu2.1.31926-001;Scil_g10071	3.0797200098615e-05	1.3123944394138454e-24	Aque_Aqu2.1.35781-001;Scil_g721	0.0016572738315866653	1.3698307604161056e-07	Aque_Aqu2.1.33622-001;Scil_g9134	0.0004296564650498524	1.1687523273894093e-15	Aque_Aqu2.1.32713-001;Scil_g2679	0.0018930843638392614	7.915325569368873e-86	Aque_Aqu2.1.20342-001;Scil_g6013	6.019578265264503e-43	7.969070712082654e-52	Aque_Aqu2.1.33622-001;Scil_g11079	0.0004296564650498524	5.333606875609963e-07			
Aque_Aqu2.1.34344-001;Scil_g119	4.469710923167695e-16	1.1240744252913564e-101	Aque_Aqu2.1.41892-001;Scil_g8192	8.326661223111995e-07	6.87570092868224e-33	Aque_Aqu2.1.43478-001;Scil_g852	2.6663380306377767e-06	2.1398362440332128e-35	Aque_Aqu2.1.44246-001;Scil_g2125	7.348281244918552e-80	7.997798359196378e-19				Aque_Aqu2.1.38752-001;Scil_g4821	8.898107358929214e-33	4.196562415733154e-29	Aque_Aqu2.1.37791-001;Scil_g2050	1.600214264451326e-41	0.00028651022064054156	Aque_Aqu2.1.44221-001;Scil_g13279	5.994069235373014e-92	5.893391080687706e-69	Aque_Aqu2.1.36291-001;Scil_g691	7.062226031678519e-62	3.800515817713997e-05	Aque_Aqu2.1.08677-001;Scil_g130	7.208488648075431e-16	3.2104504713687346e-09	Aque_Aqu2.1.29081-001;Scil_g119	7.183480367196946e-22	4.570121173935753e-06	Aque_Aqu2.1.29098-001;Scil_g5477	0.008406488938209408	7.031449584470436e-17	Aque_Aqu2.1.37112-001;Scil_g7709	5.835746410525441e-24	1.4524289917248167e-21	Aque_Aqu2.1.37112-001;Scil_g7709	5.835746410525441e-24	1.1009467812728016e-20	Aque_Aqu2.1.42548-001;Scil_g5592	7.448014540555121e-28	3.7899528558091635e-30			
Aque_Aqu2.1.24376-001;Scil_g2266	3.214491794611835e-10	1.0554006369017524e-40	Aque_Aqu2.1.37960-001;Scil_g151	8.706435525501074e-27	1.6461488177250409e-68	Aque_Aqu2.1.25578-001;Scil_g4517	9.46692299568766e-12	1.596873247019166e-10	Aque_Aqu2.1.42548-001;Scil_g5592	5.420837544320485e-66	8.91801215413299e-26				Aque_Aqu2.1.25308-001;Scil_g9283	5.0051484694276805e-22	0.0041640643412778925	Aque_Aqu2.1.33939-001;Scil_g9955	3.504474140696394e-23	8.310688268255026e-05	Aque_Aqu2.1.41989-001;Scil_g6588	7.953537235757875e-32	1.5951578667449876e-59	Aque_Aqu2.1.28495-001;Scil_g11447	4.458325986516477e-24	0.0011988833990713961	Aque_Aqu2.1.41962-001;Scil_g8956	1.6536677389112207e-06	4.752457066761341e-20	Aque_Aqu2.1.41049-001;Scil_g13539	0.007200126607303983	1.120479600624893e-06	Aque_Aqu2.1.38554-001;Scil_g12335	7.03584824440347e-07	8.988864806702545e-09	Aque_Aqu2.1.25578-001;Scil_g2679	0.005312301831445139	7.915325569368873e-86	Aque_Aqu2.1.34348-001;Scil_g9841	0.004037217112809467	1.873977563681576e-41	Aque_Aqu2.1.37112-001;Scil_g7709	5.835746410525441e-24	2.7523226686168697e-18			
